ispit,crosscul,egy_fe_fam_ll,egy_fe_fam_OR,egy_fe_fam_RR,egy_fe_unfam_LL,egy_fe_unfam_OR,egy_fe_unfam_RR,egy_m_fam_ll,egy_m_fam_OR,egy_m_fam_RR,egy_m_unfam_LL,egy_m_unfam_OR,egy_m_unfam_RR,srb_fe_fam_LL,srb_fe_fam_OR,srb_fe_fam_RR,srb_fe_unfam_LL,srb_fe_unfam_OR,srb_fe_unfam_RR,srb_m_fam_LL,srb_m_fam_OR,srb_m_fam_RR,srb_m_unfam_LL,srb_m_unfam_OR,srb_m_unfam_RR
91,srb,1.166666667,1.333333333,1.166666667,1,1.5,1.833333333,1.166666667,1,1.166666667,1.5,1.5,1.166666667,1,1,1.166666667,1,1,1.166666667,1.333333333,1.166666667,1,1.333333333,1.333333333,1.333333333
92,srb,2.666666667,2.333333333,2.5,2.666666667,3.166666667,3.166666667,3,2.833333333,2.666666667,2.833333333,2.333333333,3.166666667,2.333333333,3,2.833333333,3,2.666666667,2.666666667,2.666666667,4,3.166666667,2.5,2.166666667,2.5
93,srb,3.666666667,2.5,2.333333333,2.333333333,3.5,3.833333333,4,3.666666667,3,3.666666667,2.833333333,3,2.5,2.666666667,2.666666667,2,2.666666667,2.833333333,3.5,3.166666667,2.833333333,2.833333333,2.666666667,2.833333333
94,srb,2.166666667,2.5,1.833333333,1.833333333,2.333333333,2.833333333,1.833333333,2.333333333,1.833333333,2.833333333,2,1.833333333,1.166666667,1,1.5,1.166666667,1.666666667,1.333333333,1.666666667,1.833333333,1.333333333,1.5,1,1.5
95,srb,1.333333333,1.166666667,1,1.5,2.833333333,3,1.166666667,1.5,1.666666667,2.166666667,1.5,1,1,1.666666667,2.166666667,1.333333333,1.333333333,1.833333333,2,2.666666667,1.833333333,1.166666667,1,1.166666667
96,srb,2.833333333,2.5,2.166666667,2,3.333333333,3.5,3,2.666666667,1.833333333,2.666666667,3,2.666666667,3,2.333333333,3,2.666666667,2.666666667,2.666666667,3.5,3.333333333,2.333333333,2.833333333,2.5,2.833333333
97,egy,3.833333333,3,3.5,3.333333333,4,3.666666667,4.166666667,3.5,3.833333333,3.166666667,3.833333333,3.5,3.833333333,3.5,3.333333333,3.166666667,4.333333333,3.666666667,3.333333333,3.333333333,3.5,3.333333333,3,3.666666667
98,egy,2.333333333,2.333333333,1.833333333,1.833333333,2.166666667,2,1.666666667,2.166666667,1.833333333,2.166666667,2.166666667,2.166666667,2.333333333,2.833333333,2.333333333,1.666666667,3,1.666666667,2,2.5,2.166666667,1.833333333,1.5,2.166666667
99,egy,2.666666667,3,2.166666667,2.833333333,3.166666667,3.166666667,2.5,2.666666667,2.666666667,3.333333333,2.833333333,2.666666667,2.833333333,2.666666667,2.333333333,2.333333333,3,2.333333333,2.666666667,2.833333333,2,3,2.166666667,3.333333333
100,egy,2.5,2.833333333,1.833333333,2.333333333,2.833333333,1.833333333,2,2.166666667,2,2,2.333333333,1.833333333,2.333333333,2.5,2.5,1.833333333,2,2,1.666666667,2.333333333,2.333333333,2.166666667,1.666666667,1.833333333
101,egy,1,1.833333333,1,1,1.666666667,1.666666667,1.5,1.166666667,1,1.166666667,1.333333333,1.166666667,2,2,1.333333333,1.166666667,2.333333333,1.166666667,1,1,1.333333333,1,1.166666667,1.166666667
102,egy,2,2.666666667,1.666666667,1.666666667,1.833333333,2,2,1.166666667,1.5,2.166666667,2,1.833333333,2.333333333,2.166666667,2,2.333333333,1.5,2.5,2.5,2.5,2,1.833333333,2.333333333,1.666666667
103,egy,2.833333333,2.833333333,3.333333333,4.333333333,2.833333333,3,3.666666667,3.666666667,3.666666667,3.166666667,3,3.833333333,3,2.5,2.5,2.666666667,3,3.166666667,2.833333333,3.166666667,3.333333333,2.833333333,2.833333333,3.166666667
104,egy,2.166666667,2.666666667,2.333333333,1.666666667,2,2.333333333,1.166666667,2.333333333,1.666666667,1.666666667,2.166666667,1.666666667,1.833333333,2,1.666666667,1.333333333,2,1,1.333333333,1.5,1.333333333,1.166666667,1.666666667,2.166666667
105,egy,3.166666667,3.166666667,3.5,3.166666667,3.333333333,3.166666667,3.833333333,3.166666667,3.5,3.166666667,2.833333333,3.5,2.833333333,2.5,3.166666667,3.5,3,2.833333333,3.333333333,2.833333333,3.333333333,3.5,2.666666667,4.166666667
106,egy,3.333333333,3,3,3.333333333,2.833333333,2.833333333,3.833333333,3.833333333,3.666666667,2.666666667,3.666666667,2.666666667,3.833333333,3.666666667,3.833333333,3.5,3.666666667,3.333333333,3.166666667,3.333333333,3,3.333333333,2.833333333,3.666666667
